feature,Q1,Q3,IQR,lower_bound,upper_bound,outlier_count,outlier_percentage
danceability,0.443,0.6737500000000001,0.23075000000000007,0.09687499999999988,1.0198750000000003,1,0.05847953216374269
energy,0.43,0.794,0.36400000000000005,-0.11600000000000005,1.34,0,0.0
loudness,-10.484,-5.339,5.145,-18.2015,2.378499999999999,99,5.7894736842105265
speechiness,0.033025,0.062875,0.02985,-0.011750000000000003,0.10765,177,10.350877192982455
acousticness,0.026425,0.57075,0.544325,-0.7900624999999999,1.3872375,0,0.0
instrumentalness,0.0,0.011675,0.011675,-0.0175125,0.029187499999999998,367,21.461988304093566
liveness,0.0924,0.206,0.11359999999999999,-0.078,0.37639999999999996,117,6.842105263157895
valence,0.308,0.695,0.38699999999999996,-0.2724999999999999,1.2754999999999999,0,0.0
tempo,97.9915,137.18574999999998,39.19424999999998,39.20012500000003,195.97712499999994,14,0.8187134502923976
stream_count,1.0,30.0,29.0,-42.5,73.5,88,5.146198830409356
