feature,q1,q3,iqr,lower_bound,upper_bound,outlier_count,outlier_percent
danceability,0.45,0.692,0.24199999999999994,0.08700000000000013,1.0549999999999997,474,0.5281866705296353
energy,0.457,0.853,0.39599999999999996,-0.13699999999999996,1.447,0,0.0
loudness,-10.322,-5.108,5.2139999999999995,-18.143,2.713,5026,5.6005616162066385
speechiness,0.036,0.0859,0.04990000000000001,-0.038850000000000016,0.16075,10644,11.860799411640164
acousticness,0.0171,0.625,0.6079,-0.89475,1.53685,0,0.0
instrumentalness,0.0,0.0976,0.0976,-0.1464,0.244,19613,21.855116390501557
liveness,0.0982,0.279,0.18080000000000002,-0.173,0.5502,6981,7.779053052673805
valence,0.249,0.682,0.43300000000000005,-0.4005000000000001,1.3315000000000001,0,0.0
tempo,99.264,140.077,40.813,38.04449999999999,201.2965,514,0.5727593853422628
duration_ms,173040.0,264293.0,91253.0,36160.5,401172.5,4226,4.70910731995409
